x,y,z,stamp_sec,stamp_nanosec
0.061522050561982206,-0.16686457671318283,0.17722964551713585,1789628697,527834386
0.14138520119475714,-0.2119525835553413,0.1573024540544285,1789628700,977525213
0.06524337191177751,-0.21633502588180217,0.20106061980674797,1789628701,27279416
0.0690464384867368,-0.21612703130002278,0.21244014742881032,1789628701,78159144
0.0023190993037858904,-0.22077476088450154,0.2585191778171798,1789628701,127289362
0.011546339983556628,-0.2204734465426339,0.2715869749929978,1789628701,177475364
-0.0309671698436655,-0.22412004711675818,0.32804620762715897,1789628701,227954405
-0.024721118981539836,-0.22396990557503355,0.3330426390662988,1789628701,278428279
-0.058164629208545315,-0.22569377154599668,0.3896205488546508,1789628701,327668089
-0.05354749174076451,-0.2256075779244192,0.3915375031032475,1789628701,377695572
-0.06587885899606157,-0.22570548471247173,0.4182841709804321,1789628701,427453812
-0.06298520988047819,-0.22565720849327825,0.41907442453507354,1789628701,477431405
-0.06587885899606157,-0.22570548471247173,0.4182841709804321,1789628701,527449036
-0.06587885899606157,-0.22570548471247173,0.4182841709804321,1789628701,577781335
-0.06587885899606157,-0.22570548471247173,0.4182841709804321,1789628701,628173098
-0.06105612484297078,-0.22562502458693934,0.4196012563129439,1789628701,677610521
-0.06202066017528372,-0.22564111642021376,0.4193378423866207,1789628701,728181118
-0.06298520988047819,-0.22565720849327825,0.41907442453507354,1789628701,780691024
-0.06587885899606157,-0.22570548471247173,0.4182841709804321,1789628701,827316836
-0.06587885899606157,-0.22570548471247173,0.4182841709804321,1789628701,877932841
-0.0463703677231288,-0.22678075085130805,0.3653279927006031,1789628701,927543876
-0.0454971728295295,-0.22676271094972994,0.36581503406728894,1789628701,977410024
-0.003201632269857077,-0.22952791459223917,0.30974416889744644,1789628702,27507859
-0.0052695013749587405,-0.22958486893521374,0.30757146996797285,1789628702,77604397
0.05159711196341184,-0.23366600228730033,0.2642425483565084,1789628702,127387933
0.05115264011706874,-0.23368423558172605,0.2633469388557198,1789628702,177388804
0.11972578392363521,-0.23763913124172648,0.23833188053305382,1789628702,227654528
0.11988457453175888,-0.23762328931731666,0.2393190677641922,1789628702,277399342
0.18666171049886007,-0.24093652948175615,0.2389040063918148,1789628702,327887993
0.18643029930371074,-0.2409117317843638,0.24089042279968184,1789628702,378706833
0.2574880969067713,-0.24440605940930274,0.257284753175994,1789628702,428753074
0.25708224886659237,-0.2443984976569853,0.25819864837739515,1789628702,480303492
0.31710794510765167,-0.24785013073481035,0.3029112004634352,1789628702,527937847
0.31777482061310813,-0.2478519798322411,0.3021660308893242,1789628702,577655161
0.3650334707707934,-0.2498514282048182,0.35627590946714544,1789628702,627617513
0.36246042894926456,-0.24986293249364974,0.35781842686221155,1789628702,681243852
0.38458694422487183,-0.24988399974891587,0.42060086552033804,1789628702,728356945
0.3826526998215777,-0.24990176991492433,0.4211091951594555,1789628702,777704033
0.38458694422487183,-0.24988399974891587,0.42060086552033804,1789628702,827569922
0.3787842254262041,-0.2499373101145435,0.42212585065034713,1789628702,878223445
0.38748829641859833,-0.24985734463230094,0.41983837484900516,1789628702,927581682
0.3787842254262041,-0.2499373101145435,0.42212585065034713,1789628702,978049556
0.3816855776199306,-0.24991065499792858,0.4213633599790142,1789628703,27692517
0.38458694422487183,-0.24988399974891587,0.42060086552033804,1789628703,81772896
0.3826526998215777,-0.24990176991492433,0.4211091951594555,1789628703,128531115
0.38458694422487183,-0.24988399974891587,0.42060086552033804,1789628703,177684073
0.36352559007252094,-0.25127850058553697,0.37409417522119714,1789628703,227598406
0.36530215890806045,-0.25126850296019787,0.3731756332066125,1789628703,278339540
0.3180522036564623,-0.2554709612581739,0.3105775468951588,1789628703,327401645
0.32010675869359945,-0.2554751238956465,0.3083914950316608,1789628703,377736351
0.25841514740585947,-0.2612584417412603,0.26884028436493135,1789628703,428160688
0.2596939077691859,-0.2612799466728058,0.26612656799392687,1789628703,478423893
0.18923843485826727,-0.2673666733526347,0.24155925701095382,1789628703,527517943
0.18898654576072604,-0.2673421812417923,0.24354318448733148,1789628703,577847668
0.11795407732671265,-0.27294476141980045,0.2483296884722484,1789628703,627342812
0.11795407732671265,-0.27294476141980045,0.2483296884722484,1789628703,678834767
0.04578808221269916,-0.278752879955605,0.273853602025944,1789628703,727364480
0.043863766236449664,-0.27882656882301154,0.270347675099298,1789628703,778136707
-0.016764171567672542,-0.28342286461797594,0.3149177860941161,1789628703,827670130
-0.01385068778892208,-0.28334717421495437,0.3176574846329644,1789628703,877836353
-0.0484036907645095,-0.2853091694713639,0.38250698715698694,1789628703,927826428
-0.047499311398409336,-0.2852915817236296,0.3829333586926479,1789628703,977541278
-0.05545872222189449,-0.2855330699977238,0.4217466951510142,1789628704,27582111
-0.05642325877972937,-0.28554916259377444,0.42148322919482184,1789628704,77576093
-0.05642325877972937,-0.28554916259377444,0.42148322919482184,1789628704,127607278
-0.05545872222189449,-0.2855330699977238,0.4217466951510142,1789628704,177926150
-0.05545872222189449,-0.2855330699977238,0.4217466951510142,1789628704,227722926
-0.05835233189539912,-0.28558134778587574,0.4209562972824371,1789628704,277827834
-0.05642325877972937,-0.28554916259377444,0.42148322919482184,1789628704,329033694
-0.06124592719621813,-0.28562962533422975,0.4201659033398007,1789628704,379054546
-0.057387795337564246,-0.28556525518982506,0.4212197632386295,1789628704,427830778
-0.05642325877972937,-0.28554916259377444,0.42148322919482184,1789628704,477702925
-0.040452580380551675,-0.28672505332427156,0.3672152265801522,1789628704,527546165
-0.040452580380551675,-0.28672505332427156,0.3672152265801522,1789628704,577636498
0.0002971178734706842,-0.2897163791251151,0.30667328309233755,1789628704,628079723
-0.0024020766775672414,-0.2897922955764053,0.30372226104757394,1789628704,677924463
0.0606159226490163,-0.29410414685185904,0.26338640342144615,1789628704,727859462
0.0589611691801321,-0.29417625092551714,0.25974543420848967,1789628704,778101630
0.12903836866542026,-0.2984814886194916,0.23897084857307144,1789628704,827527830
0.12953636522438827,-0.2984196977252607,0.2429392395509435,1789628704,877498496
0.2074961801569966,-0.30273050891068065,0.24600800235523762,1789628704,927540274
0.20809820818652403,-0.30276379013001886,0.2430692116021927,1789628704,979149507
0.2767731962880895,-0.30641729779059995,0.2741630500036961,1789628705,27344828
0.2772669492235086,-0.3064230958332389,0.27329346477234345,1789628705,77509810
0.32851989911366036,-0.30869055863780076,0.32250035282189754,1789628705,127506495
0.3234104872761341,-0.3086893261911104,0.32728510977936587,1789628705,177900404
0.3630952381607352,-0.30956879455045944,0.3884799501953832,1789628705,227883885
0.3576308005605222,-0.30960437069603264,0.3909575746926564,1789628705,278040497
0.3669860425662038,-0.31004104959850437,0.426279443607302,1789628705,327374492
0.3669860425662038,-0.31004104959850437,0.426279443607302,1789628705,378103385
0.36408465227166553,-0.310067707137586,0.4270417892018472,1789628705,427287620
0.366018922075627,-0.3100499353565917,0.42653355628106865,1789628705,477324693
0.3611832475657234,-0.31009436480907754,0.427804138583015,1789628705,527648584
0.3631175173696848,-0.3100765930280832,0.42729590566223646,1789628705,578027604
0.366018922075627,-0.3100499353565917,0.42653355628106865,1789628705,629545207
0.3650517871736463,-0.3100588212470889,0.4267876727414579,1789628705,680201673
0.3631175173696848,-0.3100765930280832,0.42729590566223646,1789628705,727183245
0.3669860425662038,-0.31004104959850437,0.426279443607302,1789628705,777356968
0.3458071427867334,-0.3116338897695172,0.3785007543171196,1789628705,827448209
0.3519426098655013,-0.31160212315255853,0.37513103257878233,1789628705,878396345
0.3120181039580331,-0.3157395365356326,0.3187393231787958,1789628705,927477468
0.31338815813311255,-0.3157422932808934,0.31728228502892364,1789628705,977748339
0.2619599041097938,-0.321609099691614,0.2710046591786255,1789628706,28153174
0.2628361114324582,-0.3216229574697027,0.26920685916133347,1789628706,77698060
0.1897682623344477,-0.3281060605496702,0.24640185083268348,1789628706,127760041
0.18989525504307278,-0.3281182787160142,0.2454100203927961,1789628706,177245981
0.11620638794844829,-0.3339724978840918,0.2496388799008753,1789628706,227401907
0.11620638794844829,-0.3339724978840918,0.2496388799008753,1789628706,278077892
0.04963448262291298,-0.33919909634746015,0.2730379374887789,1789628706,327353386
0.04963448262291298,-0.33919909634746015,0.2730379374887789,1789628706,377981149
-0.011890398801416513,-0.34347815715042934,0.3186932149552639,1789628706,427356348
-0.007531716805265196,-0.34336466705723456,0.3228149837932044,1789628706,477973369
-0.0500338754035799,-0.34521307966167675,0.38140661190681047,1789628706,527436217
-0.044615615412324616,-0.34510744794701914,0.38398173670111935,1789628706,577900626
-0.054687097731132187,-0.34552222707722763,0.42258582055636584,1789628706,627405808
-0.05082896580726927,-0.3454578573503059,0.4236396802419673,1789628706,677548863
-0.052758038955543665,-0.3454900423336649,0.4231127484361966,1789628706,727923439
-0.046970819510720505,-0.3453934873835877,0.42469354385350866,1789628706,778455219
-0.05179350238140647,-0.3454739498419854,0.42337621433908196,1789628706,827507175
-0.046006297309269154,-0.34537739513170457,0.42495700583045404,1789628706,877897251
-0.05082896580726927,-0.3454578573503059,0.4236396802419673,1789628706,927654989
-0.0479353560848577,-0.34540957987526727,0.4244300779506233,1789628706,979765132
-0.046970819510720505,-0.3453934873835877,0.42469354385350866,1789628707,27706803
-0.05082896580726927,-0.3454578573503059,0.4236396802419673,1789628707,77663968
-0.03592183247607532,-0.3466400289246805,0.371564763590541,1789628707,127969321
-0.03592183247607532,-0.3466400289246805,0.371564763590541,1789628707,177959171
-4.65656595713404e-06,-0.3496965006540818,0.31260478707007033,1789628707,227844095
-0.0006927729227212964,-0.3497154758408621,0.31187943207080426,1789628707,277837224
0.061365799319347755,-0.3544348580399243,0.26753145531042183,1789628707,327973223
0.060108730553556936,-0.3544890509210267,0.2648080772021041,1789628707,377670794
0.13164029343931555,-0.3587718989166253,0.2436120197148389,1789628707,428031981
0.13175916121420453,-0.35875650453132135,0.244604812501937,1789628707,477672421
0.2031952782072587,-0.36243436174995297,0.24789576214756207,1789628707,527295418
0.20301411167678488,-0.3624229540827001,0.24887915047700465,1789628707,578195719
0.2755924854199745,-0.36607620967323157,0.2750672056299428,1789628707,627487528
0.2741291428098716,-0.36605843669285854,0.2776860335352812,1789628707,678577664
0.3254440200182043,-0.3690281462553944,0.3280427705191083,1789628707,727554989
0.32251440078083154,-0.3690277537883529,0.3307662601592399,1789628707,777631414
0.35783549583363894,-0.37018667560252977,0.3836300730313815,1789628707,827718228
0.350668914242935,-0.37022912718111783,0.38718511552734347,1789628707,878009118
0.36098772722034844,-0.3700924528345373,0.4288973696131781,1789628707,927692874
0.3561520671688342,-0.37013688159399005,0.4301679483269263,1789628707,977855911
0.359053471846585,-0.37011022425887347,0.4294055988267034,1789628708,27516185
0.3561520671688342,-0.37013688159399005,0.4301679483269263,1789628708,77282201
0.359053471846585,-0.37011022425887347,0.4294055988267034,1789628708,127885870
0.36098772722034844,-0.3700924528345373,0.4288973696131781,1789628708,177531644
0.359053471846585,-0.37011022425887347,0.4294055988267034,1789628708,228446352
0.35518493227625064,-0.3701457673723622,0.43042206482700057,1789628708,277567511
0.36002059232776484,-0.37010133861290945,0.4291514861132524,1789628708,327442491
0.3571192020614178,-0.37012799581561784,0.429913831826852,1789628708,378021863
